x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1523848,613,629,904,623,646,519,1873,706,1696,545,313,837,714,570,6579,871,499,546,690,635
aeroplane,462,7200,0,20,16,0,0,13,0,16,0,1,0,0,0,1,4,0,8,4,0
bike,512,1,7517,1,0,0,2,3,0,0,0,0,1,3,41,122,2,0,0,0,0
bird,735,9,0,10634,8,0,0,0,3,13,1,0,13,6,3,30,8,28,0,0,0
boat,535,18,1,4,7345,1,21,36,0,8,2,0,0,2,0,42,1,0,1,39,2
bottle,576,0,0,0,1,6770,0,8,0,9,2,0,0,8,1,22,9,2,0,0,0
bus,460,0,0,0,9,0,6902,28,0,4,0,0,0,0,1,32,0,0,0,56,18
car,1384,2,1,2,16,11,37,21949,0,23,0,0,0,7,29,67,0,13,5,20,11
cat,623,0,0,1,0,0,0,0,6249,14,2,0,76,0,0,10,0,0,8,0,0
chair,1627,18,8,2,10,18,4,8,10,15777,11,86,9,10,0,252,9,0,75,7,27
cow,466,0,0,5,0,0,0,1,1,5,7076,0,7,90,1,26,0,36,1,0,0
table,482,3,0,0,0,0,0,0,2,141,0,2268,0,0,0,14,0,0,5,0,0
dog,773,0,0,10,0,0,0,0,83,20,18,1,8837,33,1,55,0,12,45,0,0
horse,535,0,1,4,0,0,0,3,0,27,128,0,14,8833,15,137,1,51,0,7,6
moto,510,7,41,1,0,0,0,48,0,5,4,0,1,8,7448,181,2,0,0,15,0
person,5148,1,110,25,12,24,19,45,13,133,21,10,73,112,172,57539,6,8,143,17,12
plant,726,7,0,11,13,5,0,0,0,30,0,0,0,0,7,17,8617,2,6,0,2
shep,357,1,0,23,0,0,0,0,9,1,59,0,5,52,0,11,2,5790,0,13,8
sofa,698,0,0,1,1,0,0,5,14,45,0,3,60,0,0,242,3,1,5141,0,1
train,555,3,0,0,40,0,49,22,0,7,8,0,0,0,23,0,5,2,0,7837,11
tv,482,1,0,0,19,0,6,1,4,32,0,0,2,0,0,6,4,2,8,8,7967
